genre,author,book,pubhouse,price_now,price_old
Религия,Священномученик Серафим (Звездинский),Хлеб Небесный. Проповеди о Божественной Литургии,ПСТГУ,225,322
Религия,Стернз Джастин,Заразные идеи. Тема инфекционных болезней в исламской и христианской мысли,Academic Studies Press,1 273,1 819
Религия,Де Видо Элиза Анна,Буддийские монахини Тайваня,Academic Studies Press,1 010,1 443
Религия,,Святое Евангелие (карманное),Изд-во Московской Патриархии,505,721
Религия,Шмелев,Смертию смерть поправ! Великопостные и пасхальные рассказы,Новое Небо,479,684
Религия,Митрополит Антоний Сурожский,О последних пределах. Тайна происхождения мира,Ника,232,331
Религия,,Сырная седмица,Свято-Троицкая Сергиева Лавра,272,389
Религия,,"""Буди милость Твоя на детях моих"". Материнский молитвослов",Смирение,405,578
Религия,,"Служба с акафистом преподобному и богоносному отцу нашему Амвросию, старцу Оптинскому",Синопсисъ,1 040,1 486
Религия,Малков Петр Юрьевич,Воскрешение Лазаря и Вход Господень в Иерусалим. Пасха - Воскресение Христово,ПСТГУ,676,965
Религия,Священник Сергий Иванов,Святой Патриарх Тихон и изъятие церковных ценностей в 1922 году,ПСТГУ,1 800,2 572
Религия,Антонова Влада,Учение Христа. Практическое пособие для православных христиан,Родина,449,690
Религия,Сухинина Наталия Евгеньевна,Билет до конечной,Алавастр,459,656
Религия,,,,11 250,16 072
Религия,Сухинина Наталия Евгеньевна,Благодарю Тебя. Записки из ущелья,Алавастр,361,515
Религия,Сухинина Наталия Евгеньевна,Бог любит Троицу,Алавастр,459,656
Религия,Сухинина Наталия Евгеньевна,Времена года,Алавастр,746,1 066
Религия,Сухинина Наталия Евгеньевна,Колыбельная для ветра,Алавастр,459,656
Религия,Протоиерей Андрей Ткачев,Тебе и мне Бог письмо написал. Беседы после Литургии,Апостол веры,608,868
Религия,Мамин-Сибиряк Дмитрий Наркисович,Авва,Зерна-Книга,300,428
Религия,Засодимский Павел Владимирович,В метель и вьюгу. Святочные и другие рассказы,Зерна-Книга,237,339
Религия,Недетовский Григорий Иванович,Грех попутал. Рассказы отца Забытого,Зерна-Книга,303,433
Религия,Данилевский Григорий Петрович,Святочные вечера,Зерна-Книга,169,242
Религия,Певцов Константин Константинович,Слава мучеников,Зерна-Книга,281,401
Религия,Протоиерей Валентин Свенцицкий,Юродивый. Рассказы,Зерна-Книга,301,430
Религия,Святитель Николай Сербский (Велимирович),Творения. В 3-х книгах,Сретенский ставропигиальный мужской монастырь,3 600,5 143
Религия,Калинина Галина Вячеславовна,Загробная жизнь и бессмертие души. Свидетельства и факты,Лепта,668,954
Религия,Шкаровский Михаил Витальевич,Александрийская и Русская Церкви в XX-XXI веках,ИД Познание,795,1 136
Религия,Митрополит,Евангелие от Матфея. Исторический и богословский контекст,ИД Познание,1 432,2 045
Религия,Грацианский,Мировое Православие. Первенство и соборность в свете православного вероучения,ИД Познание,676,966
Религия,Митрополит Иларион (Алфеев),Каталог 1-й Биеннале христоцентричного искусства,ИД Познание,2 385,3 407
Религия,Епископ Серафим (Амельчиков),Православное Пастырство. Бог и человек в таинстве спасения,ИД Познание,676,966
Религия,,Святое Евангелие Господа Нашего Иисуса Христа,Православный Печатник,600,857
Религия,Фромм Эрих,Вы будете как боги,АСТ,290,414
Религия,,Молитвослов карманный,Покровский женский монастырь,4 051,5 787
Религия,Епископ Кассиан (Безобразов),Христос и первое христианское поколение,ПСТГУ,1 238,1 768
Религия,Миловский-Елеонский Сергей,Папаша крестный. Рассказы,Зерна-Книга,307,438
Религия,,Путь истины. По творениям святителя Василия Великого,Благовест,231,330
Религия,,,,,
Религия,,Святое Евангелие. Церковно-славянский шрифт. Карманный формат,Благовест,549,784
Религия,,Таинство спасения. По творениям преподобных Иосифа Волоцкого и Нила Сорского,Благовест,231,330
Религия,,"Пастырь в наше время. Размышления, вопросы и ответы. Современная приходская практика",ПСТГУ,1 688,2 411
Религия,Юнгеров Павел Александрович,Псалтирь учебная на церковно-славянском языке с параллельным переводом на русский язык П. Юнгерова,Скрижаль,593,847
Религия,,Слово старца к христианам в миру живущим,Терирем,184,263
Религия,Преображенский Александр,Азы Православия,Терирем,90,128
Религия,Митрополит Антоний Сурожский,Отче Наш. Размышления о молитве Господней,Терирем,106,151
Религия,,Светлое Христово Воскресение,Данилов мужской монастырь,324,463
Религия,,,,758,1 083
Религия,Сорей Карен,Библия в инфографике,АСТ,1 461,2 087
Религия,Достоевский,Что значит подарить радость? Пасхальные рассказы и стихи,Приход Храма Святаго Духа сошествия,145,207
Религия,Имам Али,Путь красноречия,АСТ,851,1 215
Религия,,Псалтирь пророка и царя Давида учебная,Отчий Дом,603,862
Религия,,Православный молитвослов с правилом ко Святому Причащению,Отчий Дом,79,113
Религия,,Радостная Весть. Новый Завет. Современный русский перевод. Учебное издание,Российское Библейское Общество,960,1 371
Религия,Гоголь,Спаси и сохрани. Пасхальные истории,Эксмо,699,999
Религия,Протопресвитер Фома Хопко,Основы православия,Синопсисъ,537,767
Религия,Радонежская Раиса Витальевна,Отец Иван и отец Стефан,Зерна-Книга,226,323
Религия,Митрополит Иоанн (Снычев),Плач сердца. Дневниковые записи архипастыря,Царское дело,701,1 002
Религия,Державная Вера,Порча и сглаз. Взгляд Православной Церкви,Омега-Л,435,622
Религия,Карагодин Владимир Николаевич,Пророк Непокоренного Донбасса. Схиархимандрит Зосима,Благо,736,1 051
Религия,Схиархимандрит Авраам (Рейдман),Рождество и Пасха. Две священные истины Церкви,Ново-Тихвинский женский монастырь,1 350,1 929
Религия,Крюков Федор Дмитриевич,Сеть мирская,Зерна-Книга,221,315
